epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.699412,0.77348,3.96792,1.20609,0.00992,0.86667,0.0815,0.07055,0.46661,3.5364,1.04607,2.5e-05,2.5e-05,2.5e-05
2,1.20784,0.74945,3.91805,1.15696,0.01519,0.86667,0.39991,0.37858,0.3562,3.44996,0.93276,5.61386e-05,5.61386e-05,5.61386e-05
3,1.73371,0.64281,3.55489,1.03711,0.03657,0.8,0.38345,0.35708,0.32742,3.37272,0.91712,8.71535e-05,8.71535e-05,8.71535e-05
4,2.23181,0.57706,2.9369,0.99462,0.06363,0.8,0.3329,0.29798,0.41922,3.10312,0.97545,0.000118045,0.000118045,0.000118045
5,2.72814,0.7279,2.3844,1.14889,0.07859,0.86667,0.51792,0.48232,0.36112,2.98823,0.92898,0.000148812,0.000148812,0.000148812
6,3.23782,0.57152,1.93598,0.99119,0.09124,0.8,0.3407,0.31259,0.38413,2.73894,0.95359,0.000179456,0.000179456,0.000179456
7,3.72845,0.58602,1.71213,0.99873,0.09378,0.86667,0.48023,0.44535,0.40107,2.59972,0.92488,0.000209976,0.000209976,0.000209976
8,4.22268,0.58502,1.66827,1.00042,0.0825,0.93333,0.61,0.5486,0.46471,2.64168,0.95604,0.000240372,0.000240372,0.000240372
9,4.71739,0.63359,1.48986,1.01101,0.07944,1,0.62496,0.57566,0.47675,2.64987,0.95679,0.000270644,0.000270644,0.000270644
10,5.21255,0.60038,1.53698,1.04762,0.82903,0.21369,0.85022,0.71353,0.56586,2.38491,1.0822,0.000300793,0.000300793,0.000300793
11,5.70005,0.55119,1.3383,0.95436,0.89206,0.2,0.79074,0.62444,0.45231,2.4877,1.01514,0.000330818,0.000330818,0.000330818
12,6.18643,0.55955,1.36817,0.9597,0.87587,0.29995,0.82992,0.77204,0.48251,2.06286,1.01256,0.000360719,0.000360719,0.000360719
13,6.67006,0.54614,1.30035,0.99513,0.88392,0.36667,0.95732,0.88539,0.63112,1.65516,1.14119,0.000390496,0.000390496,0.000390496
14,7.15875,0.5454,1.19712,0.95994,0.86987,0.33972,0.83362,0.78378,0.45253,1.89385,0.98043,0.00042015,0.00042015,0.00042015
15,7.6475,0.54416,1.22,0.98322,0.93106,0.28095,0.76093,0.70721,0.51793,2.03679,1.0246,0.000449679,0.000449679,0.000449679
16,8.134,0.55917,1.22095,0.95693,0.90924,0.354,0.85936,0.78909,0.41404,1.69461,0.96608,0.000479086,0.000479086,0.000479086
17,8.60427,0.5581,1.09167,0.96009,0.89413,0.35489,0.94916,0.88756,0.3971,1.56582,0.9603,0.000508368,0.000508368,0.000508368
18,9.08944,0.51497,1.17555,0.96646,0.87796,0.47246,0.89543,0.83846,0.41456,1.84093,0.95932,0.000537527,0.000537527,0.000537527
19,9.56196,0.57741,1.09363,0.98358,0.84861,0.43263,0.82672,0.7784,0.37122,1.65755,0.95151,0.000566562,0.000566562,0.000566562
20,10.0528,0.58425,1.03105,0.98186,0.94426,0.338,0.85833,0.78041,0.50804,1.73579,0.96475,0.000595473,0.000595473,0.000595473
21,10.5315,0.56926,1.14112,0.99349,0.84719,0.39257,0.81901,0.77962,0.39811,1.65248,0.97003,0.00060025,0.00060025,0.00060025
22,11.0112,0.61509,1.08111,1.01514,0.77918,0.71429,0.75222,0.69533,0.4342,1.58635,0.96965,0.000599012,0.000599012,0.000599012
23,11.482,0.538,1.04476,0.95641,0.80791,0.71027,0.75063,0.68587,0.409,1.43378,0.93044,0.000597775,0.000597775,0.000597775
24,11.9609,0.52934,1.08315,1.00331,0.7835,0.71541,0.81275,0.75661,0.36981,1.35179,0.91282,0.000596538,0.000596538,0.000596538
25,12.432,0.54483,1.06957,0.96062,0.86816,0.67605,0.80562,0.67198,0.43258,1.3734,0.92698,0.0005953,0.0005953,0.0005953
26,12.911,0.51971,0.97428,0.95456,0.78443,0.71429,0.74659,0.70726,0.33701,1.45758,0.91097,0.000594062,0.000594062,0.000594062
27,13.3879,0.5429,1.04615,0.97077,0.71842,0.74021,0.7137,0.65521,0.34153,1.29077,0.91894,0.000592825,0.000592825,0.000592825
28,13.867,0.49531,0.94722,0.91079,0.79934,0.78785,0.76643,0.65829,0.45534,1.08884,0.98766,0.000591587,0.000591587,0.000591587
29,14.3361,0.52365,0.93339,0.98646,0.79515,0.71429,0.76509,0.6818,0.37952,1.15641,0.97315,0.00059035,0.00059035,0.00059035
30,14.8142,0.49479,0.90282,0.93492,0.78593,0.73893,0.77166,0.70516,0.42089,1.20789,1.00003,0.000589112,0.000589112,0.000589112
31,15.2844,0.53542,0.92618,0.93602,0.75302,0.72092,0.80113,0.72995,0.3507,1.06648,0.95641,0.000587875,0.000587875,0.000587875
32,15.7673,0.54653,1.0346,0.95089,0.763,0.71429,0.82383,0.73694,0.39067,1.15401,0.9713,0.000586637,0.000586637,0.000586637
33,16.2363,0.4998,0.88212,0.93678,0.77674,0.71429,0.82407,0.73505,0.34054,1.0542,0.9646,0.0005854,0.0005854,0.0005854
34,16.7174,0.48682,0.93073,0.93742,0.77911,0.67363,0.78858,0.67051,0.36126,1.17647,0.94963,0.000584163,0.000584163,0.000584163
35,17.1944,0.44475,0.80436,0.92481,0.77054,0.67334,0.78306,0.71111,0.371,1.25467,0.95525,0.000582925,0.000582925,0.000582925
36,17.6756,0.45008,0.90428,0.91249,0.84521,0.68003,0.92065,0.79866,0.40129,1.23639,0.97385,0.000581687,0.000581687,0.000581687
37,18.1469,0.44721,0.81035,0.9146,0.95429,0.69651,0.92376,0.79226,0.44721,1.12544,0.95951,0.00058045,0.00058045,0.00058045
38,18.6268,0.47597,0.83037,0.91727,0.88445,0.68095,0.94467,0.83602,0.36213,1.04769,0.92725,0.000579213,0.000579213,0.000579213
39,19.0951,0.474,0.79862,0.92997,0.85788,0.69977,0.82956,0.77239,0.35111,0.97604,0.92388,0.000577975,0.000577975,0.000577975
40,19.5726,0.52788,0.93397,0.98897,0.93518,0.68351,0.75666,0.69949,0.36233,0.9691,0.93456,0.000576738,0.000576738,0.000576738
41,20.0441,0.49091,0.80709,0.94102,0.91346,0.67432,0.75493,0.71929,0.35136,0.95481,0.94201,0.0005755,0.0005755,0.0005755
42,20.5236,0.44463,0.78703,0.92205,0.84641,0.67263,0.76179,0.70263,0.33349,1.09724,0.93349,0.000574263,0.000574263,0.000574263
43,20.9916,0.4244,0.72348,0.91034,0.86172,0.68095,0.76147,0.6891,0.34075,1.15936,0.94057,0.000573025,0.000573025,0.000573025
44,21.4799,0.44301,0.73879,0.89893,0.92847,0.68095,0.73243,0.63349,0.34257,1.04405,0.94056,0.000571787,0.000571787,0.000571787
45,21.9473,0.39881,0.69307,0.89833,0.90533,0.66912,0.77111,0.71754,0.33033,0.93828,0.94766,0.00057055,0.00057055,0.00057055
46,22.4224,0.43138,0.71428,0.91569,0.93759,0.68473,0.77981,0.72539,0.32431,0.85532,0.92634,0.000569313,0.000569313,0.000569313
47,22.8981,0.39262,0.69436,0.88257,0.86753,0.68698,0.83465,0.73665,0.35472,1.01584,0.94401,0.000568075,0.000568075,0.000568075
48,23.3767,0.45138,0.69567,0.93025,0.84126,0.71293,0.96308,0.81966,0.40724,1.05432,0.94261,0.000566838,0.000566838,0.000566838
49,23.8584,0.49634,0.70356,0.92001,0.85811,0.69488,0.78654,0.74152,0.34358,1.04193,0.90913,0.0005656,0.0005656,0.0005656
50,24.3368,0.49552,0.74791,0.97354,0.92874,0.68095,0.76917,0.71678,0.36728,1.01187,0.90572,0.000564363,0.000564363,0.000564363
51,24.8071,0.42871,0.65381,0.91158,0.88407,0.68252,0.95056,0.7992,0.33594,0.98413,0.92395,0.000563125,0.000563125,0.000563125
52,25.2868,0.45208,0.69032,0.92491,0.90295,0.68205,0.96722,0.82703,0.33632,1.00986,0.92378,0.000561888,0.000561888,0.000561888
53,25.756,0.40831,0.71438,0.90542,0.88918,0.69903,0.76115,0.68569,0.40574,1.10336,0.95184,0.00056065,0.00056065,0.00056065
54,26.2366,0.46626,0.6923,0.92133,0.81666,0.71429,0.73926,0.66365,0.35993,1.1986,0.95885,0.000559412,0.000559412,0.000559412
55,26.7041,0.4381,0.66332,0.94613,0.76466,0.68422,0.73283,0.671,0.44532,1.24647,0.9694,0.000558175,0.000558175,0.000558175
56,27.1793,0.40166,0.66346,0.90281,0.87483,0.68798,0.76107,0.68497,0.33313,1.10419,0.93403,0.000556938,0.000556938,0.000556938
57,27.6508,0.43095,0.67746,0.91986,0.88909,0.6855,0.76715,0.70906,0.35375,1.02742,0.9433,0.0005557,0.0005557,0.0005557
58,28.1288,0.43127,0.64404,0.89903,0.84838,0.71054,0.76333,0.72309,0.35457,1.15491,0.9638,0.000554462,0.000554462,0.000554462
59,28.5984,0.42557,0.64955,0.93026,0.86814,0.68213,0.78989,0.72796,0.33823,1.10415,0.95846,0.000553225,0.000553225,0.000553225
60,29.0761,0.40161,0.6065,0.8982,0.9088,0.68386,0.77866,0.74422,0.32141,1.04925,0.95027,0.000551987,0.000551987,0.000551987
61,29.5419,0.4321,0.60639,0.92478,0.88973,0.68266,0.76019,0.73612,0.31974,1.22218,0.96139,0.00055075,0.00055075,0.00055075
62,30.0171,0.37416,0.61149,0.90197,0.92416,0.68095,0.75663,0.67243,0.35643,1.11976,0.96065,0.000549513,0.000549513,0.000549513
