epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.345634,0.78259,4.18146,1.05107,0.01386,0.77778,0.4446,0.43307,0.34185,3.78724,0.89269,0,0,0
2,0.772966,0.8331,4.1817,1.13928,0.01505,0.77778,0.44457,0.43305,0.34186,3.78464,0.89134,6.23763e-06,6.23763e-06,6.23763e-06
3,1.09805,0.82324,4.11699,1.08795,0.01673,0.77778,0.44593,0.43414,0.34492,3.78313,0.89043,1.24505e-05,1.24505e-05,1.24505e-05
4,1.39464,0.69716,4.15179,1.05352,0.01758,0.77778,0.44598,0.43417,0.34759,3.78308,0.89102,1.86386e-05,1.86386e-05,1.86386e-05
5,1.64762,0.71705,4.11341,1.03142,0.02339,0.77778,0.44568,0.43393,0.34785,3.78311,0.89011,2.4802e-05,2.4802e-05,2.4802e-05
6,1.9267,0.85324,4.16446,1.09768,0.02557,0.77778,0.4454,0.40054,0.34391,3.7676,0.87956,3.09406e-05,3.09406e-05,3.09406e-05
7,2.22247,0.69525,4.08791,1.03133,0.02729,0.77778,0.44575,0.43399,0.3413,3.76524,0.87968,3.70545e-05,3.70545e-05,3.70545e-05
8,2.50906,0.71238,4.14145,1.0495,0.02955,0.77778,0.44652,0.39081,0.35681,3.76679,0.87345,4.31436e-05,4.31436e-05,4.31436e-05
9,2.80072,0.55838,3.99154,0.96386,0.03135,0.77778,0.50213,0.45191,0.41627,3.7452,0.87655,4.9208e-05,4.9208e-05,4.9208e-05
10,3.09393,0.61396,3.9158,0.95158,0.03173,0.77778,0.50355,0.4538,0.41982,3.68866,0.87565,5.52476e-05,5.52476e-05,5.52476e-05
11,3.38861,0.60874,3.90709,1.01424,0.04332,0.88889,0.52164,0.4537,0.46158,3.64282,0.88687,6.12625e-05,6.12625e-05,6.12625e-05
12,3.68764,0.58982,3.76207,0.97719,0.06742,1,0.54415,0.47036,0.53052,3.56889,0.90547,6.72526e-05,6.72526e-05,6.72526e-05
13,3.98097,0.5098,3.66364,0.92548,0.1013,1,0.76722,0.60769,0.57843,3.53343,0.91585,7.3218e-05,7.3218e-05,7.3218e-05
14,4.27274,0.59858,3.61307,0.96922,0.09255,1,0.82917,0.66652,0.59858,3.50794,0.92613,7.91586e-05,7.91586e-05,7.91586e-05
15,4.56264,0.63416,3.53252,1.02231,0.1068,1,0.86233,0.71404,0.58455,3.50503,0.92651,8.50745e-05,8.50745e-05,8.50745e-05
16,4.85435,0.61293,3.44028,0.96822,0.10149,1,0.86233,0.71407,0.56076,3.48281,0.92052,9.09656e-05,9.09656e-05,9.09656e-05
17,5.14557,0.51779,3.2046,0.9136,0.09645,1,0.6965,0.59979,0.53432,3.46297,0.91536,9.6832e-05,9.6832e-05,9.6832e-05
18,5.42912,0.58444,3.28309,0.9651,0.09646,1,0.6965,0.61638,0.53493,3.45796,0.91447,0.000102674,0.000102674,0.000102674
19,5.73398,0.60548,3.37475,1.01885,0.09642,1,0.6965,0.59482,0.51969,3.44186,0.91076,0.000108491,0.000108491,0.000108491
20,6.03074,0.45316,3.09038,0.9342,0.0904,1,0.6965,0.58693,0.50208,3.43105,0.90421,0.000114283,0.000114283,0.000114283
21,6.37508,0.53943,2.89768,0.93245,0.08444,1,0.74117,0.61166,0.50024,3.40374,0.90097,0.00012005,0.00012005,0.00012005
22,6.65909,0.5522,2.85729,0.97692,0.08439,1,0.74117,0.61166,0.49999,3.3911,0.90145,0.000125793,0.000125793,0.000125793
23,6.94662,0.54372,2.6314,0.92348,0.0827,1,0.74117,0.62987,0.51029,3.37887,0.90272,0.000131511,0.000131511,0.000131511
24,7.23195,0.59086,2.8866,0.98047,0.07641,1,0.74117,0.61345,0.51927,3.37014,0.90249,0.000137204,0.000137204,0.000137204
25,7.51662,0.48294,2.3051,0.91482,0.0653,1,0.91433,0.72149,0.54254,3.37357,0.90543,0.000142872,0.000142872,0.000142872
26,7.80596,0.49127,2.32799,0.94112,0.06864,1,0.77417,0.64257,0.57437,3.38126,0.9097,0.000148516,0.000148516,0.000148516
27,8.09286,0.51725,2.23943,0.94993,0.06726,1,0.77417,0.61733,0.59871,3.38018,0.90988,0.000154134,0.000154134,0.000154134
28,8.37628,0.58559,2.31017,1.00326,0.06117,1,0.77417,0.63378,0.60551,3.37521,0.90673,0.000159729,0.000159729,0.000159729
29,8.66004,0.50112,2.04336,0.96414,0.05559,1,0.77417,0.63363,0.57294,3.36545,0.90629,0.000165298,0.000165298,0.000165298
30,8.94662,0.50364,2.34021,0.98084,0.05706,1,0.77417,0.67928,0.55075,3.36846,0.90359,0.000170843,0.000170843,0.000170843
31,9.23746,0.47828,1.92277,0.91954,0.05339,1,0.77417,0.7147,0.54298,3.36615,0.90204,0.000176362,0.000176362,0.000176362
32,9.52116,0.50135,1.86923,0.97496,0.05617,1,0.77417,0.70745,0.55285,3.36113,0.90101,0.000181858,0.000181858,0.000181858
33,9.80385,0.48728,1.84016,0.97179,0.05941,1,0.77417,0.70756,0.57343,3.35462,0.90467,0.000187328,0.000187328,0.000187328
34,10.0922,0.46793,1.82165,0.91832,0.05403,1,0.77417,0.69082,0.61669,3.35109,0.90962,0.000192774,0.000192774,0.000192774
35,10.3786,0.53153,1.91202,0.94493,0.0527,1,0.77417,0.69078,0.64576,3.35099,0.91142,0.000198195,0.000198195,0.000198195
36,10.6697,0.55096,1.82201,0.97236,0.04761,1,0.94,0.7952,0.65392,3.35473,0.91175,0.000203591,0.000203591,0.000203591
37,10.963,0.45972,1.46221,0.92235,0.0454,1,0.94,0.82837,0.66261,3.35271,0.91379,0.000208962,0.000208962,0.000208962
38,11.2573,0.4631,1.63571,0.91252,0.04086,1,0.94,0.83713,0.63846,3.35218,0.91454,0.000214309,0.000214309,0.000214309
39,11.5479,0.52909,1.52469,0.95619,0.04095,1,0.91433,0.81661,0.56361,3.34985,0.90768,0.00021963,0.00021963,0.00021963
40,11.8337,0.46678,1.67423,0.90785,0.05075,1,0.951,0.88288,0.48974,3.3446,0.89943,0.000224928,0.000224928,0.000224928
41,12.1275,0.49593,1.44285,0.91311,0.05368,1,0.78517,0.73969,0.47004,3.33996,0.89577,0.0002302,0.0002302,0.0002302
42,12.4134,0.47342,1.36779,0.88578,0.05509,1,0.78517,0.73973,0.46675,3.34766,0.89281,0.000235448,0.000235448,0.000235448
43,12.7014,0.51457,1.47572,0.9551,0.06118,1,0.78517,0.73981,0.48415,3.34841,0.89441,0.00024067,0.00024067,0.00024067
44,12.9856,0.44231,1.54286,0.91684,0.06263,1,0.76631,0.71864,0.48968,3.36014,0.8978,0.000245869,0.000245869,0.000245869
45,13.2717,0.4659,1.38969,0.92487,0.06447,1,0.72964,0.68564,0.47001,3.37577,0.90136,0.000251042,0.000251042,0.000251042
46,13.5588,0.45949,1.41695,0.95629,0.06514,1,0.65014,0.61465,0.43668,3.38517,0.89657,0.000256191,0.000256191,0.000256191
47,13.8475,0.50998,1.46698,0.93578,0.07068,1,0.63639,0.61536,0.423,3.3818,0.90132,0.000261315,0.000261315,0.000261315
48,14.1347,0.4793,1.32372,0.91351,0.07892,1,0.63639,0.61305,0.43014,3.37735,0.90155,0.000266414,0.000266414,0.000266414
49,14.4225,0.49563,1.37653,0.92068,0.07229,1,0.63639,0.61298,0.43359,3.36952,0.90275,0.000271488,0.000271488,0.000271488
50,14.7097,0.45076,1.23317,0.89232,0.06396,1,0.623,0.61742,0.43173,3.35105,0.89912,0.000276538,0.000276538,0.000276538
51,14.9993,0.48671,1.30958,0.92951,0.07024,1,0.65548,0.65132,0.39105,3.33978,0.88641,0.000281563,0.000281563,0.000281563
52,15.2844,0.48289,1.48414,0.93968,0.07187,1,0.66333,0.65842,0.34631,3.32439,0.88142,0.000286563,0.000286563,0.000286563
53,15.5683,0.51558,1.17454,0.90431,0.04977,1,0.645,0.63618,0.34072,3.31282,0.87615,0.000291538,0.000291538,0.000291538
54,15.8528,0.48841,1.25227,0.91007,0.03709,1,0.68653,0.66762,0.35663,3.30379,0.87598,0.000296489,0.000296489,0.000296489
55,16.1389,0.48676,1.2424,0.94396,0.03216,1,0.68653,0.66762,0.377,3.30616,0.87487,0.000301415,0.000301415,0.000301415
56,16.4243,0.34535,1.16935,0.88456,0.02896,1,0.85236,0.83346,0.36748,3.30035,0.87527,0.000306316,0.000306316,0.000306316
57,16.7083,0.39202,1.13986,0.86681,0.02782,1,0.91433,0.89314,0.32302,3.28451,0.87132,0.000311192,0.000311192,0.000311192
58,17.0002,0.48827,1.27206,0.91087,0.02595,1,0.995,0.97678,0.29887,3.24864,0.87997,0.000316044,0.000316044,0.000316044
59,17.3444,0.49275,1.14574,0.91641,0.02459,1,0.995,0.97677,0.32381,3.19852,0.88012,0.000320871,0.000320871,0.000320871
60,17.6288,0.44634,1.14509,0.90896,0.02566,1,0.995,0.93256,0.38138,3.17049,0.88564,0.000325673,0.000325673,0.000325673
61,17.9141,0.46856,1.21618,0.94697,0.02517,1,0.995,0.92867,0.42958,3.16867,0.886,0.00033045,0.00033045,0.00033045
62,18.1976,0.4573,1.13969,0.90662,0.0255,1,0.995,0.92867,0.40338,3.18378,0.87694,0.000335203,0.000335203,0.000335203
63,18.4936,0.465,1.17486,0.92481,0.02945,1,0.995,0.97319,0.3287,3.18921,0.87226,0.000339931,0.000339931,0.000339931
64,18.784,0.49928,1.24771,0.92922,0.03248,1,0.93214,0.88663,0.32859,3.2151,0.88067,0.000344634,0.000344634,0.000344634
65,19.0961,0.58635,1.32246,0.90097,0.03525,1,0.9015,0.85594,0.3597,3.2271,0.87136,0.000349312,0.000349312,0.000349312
66,19.388,0.49531,1.14677,0.904,0.036,1,0.907,0.86089,0.39461,3.20568,0.87997,0.000353966,0.000353966,0.000353966
67,19.6759,0.42534,1.03096,0.86598,0.0404,1,0.92625,0.86679,0.42327,3.17092,0.88393,0.000358595,0.000358595,0.000358595
68,19.9673,0.4899,1.19647,0.91859,0.04185,1,0.995,0.93272,0.43187,3.11123,0.89661,0.000363199,0.000363199,0.000363199
69,20.2511,0.43225,1.16481,0.956,0.04642,1,0.995,0.8996,0.44005,3.03328,0.91634,0.000367778,0.000367778,0.000367778
70,20.5382,0.49085,1.1123,0.91069,0.05221,1,0.995,0.89965,0.41712,3.01746,0.91813,0.000372333,0.000372333,0.000372333
71,20.8254,0.49114,1.15948,0.90045,0.05005,1,0.995,0.89962,0.39866,3.00517,0.91534,0.000376863,0.000376863,0.000376863
72,21.1173,0.482,1.0958,0.94417,0.05062,1,0.995,0.9328,0.3697,2.99924,0.90665,0.000381368,0.000381368,0.000381368
73,21.4059,0.47201,1.17852,0.91135,0.05152,1,0.995,0.93281,0.35883,3.01603,0.90793,0.000385848,0.000385848,0.000385848
74,21.6917,0.45293,1.05074,0.91166,0.06178,1,0.995,0.93294,0.36625,3.02696,0.91014,0.000390304,0.000390304,0.000390304
75,21.9751,0.41556,1.0972,0.87805,0.04267,1,0.995,0.92867,0.39689,3.06163,0.91262,0.000394735,0.000394735,0.000394735
