epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.16512,0.9985,4.16451,1.63548,0.00667,1,0.695,0.33958,0.68157,3.29051,1.82699,0.0001,0.0001,0.0001
2,6.98819,1.10358,5.12324,1.85704,0.00667,1,0.995,0.537,1.04161,3.45752,1.87891,0.000215644,0.000215644,0.000215644
3,8.77437,1.41075,4.35236,2.291,0.00667,1,0.995,0.3622,1.24173,3.6322,2.1107,0.000326536,0.000326536,0.000326536
4,10.4541,0.83048,3.1786,1.54421,0.00667,1,0.995,0.3622,1.24173,3.6322,2.1107,0.000432676,0.000432676,0.000432676
5,12.1245,1.21012,5.1843,1.6757,0.00667,1,0.995,0.48496,1.1912,3.40568,2.06616,0.000534064,0.000534064,0.000534064
6,13.8042,0.54362,2.18478,1.1766,0.00667,1,0.995,0.48496,1.1912,3.40568,2.06616,0.0006307,0.0006307,0.0006307
7,15.4672,1.03905,4.16144,1.73327,0.00667,1,0.995,0.64667,1.00433,3.17861,1.71727,0.000722584,0.000722584,0.000722584
8,17.3439,0.63352,2.64559,1.38022,0.00667,1,0.995,0.64667,1.00433,3.17861,1.71727,0.000809716,0.000809716,0.000809716
9,19.2226,0.76025,2.94676,1.45079,0.00667,1,0.63786,0.42039,1.36475,3.63725,2.45167,0.000892096,0.000892096,0.000892096
10,20.8737,0.94555,3.90911,1.90661,0.00667,1,0.63786,0.42039,1.36475,3.63725,2.45167,0.000969724,0.000969724,0.000969724
11,22.5379,0.59339,3.16764,1.31515,0.00667,1,0.63786,0.42039,1.36475,3.63725,2.45167,0.0010426,0.0010426,0.0010426
12,24.2289,1.10456,4.23339,1.51003,0.00667,1,0.63786,0.42039,1.36475,3.63725,2.45167,0.00111072,0.00111072,0.00111072
13,25.897,0.71095,2.99398,1.40752,0.00667,1,0.63786,0.42039,1.36475,3.63725,2.45167,0.0011741,0.0011741,0.0011741
14,27.57,0.76814,3.26694,1.42556,0.63213,0.8964,0.66333,0.22271,1.81428,3.16701,3.38643,0.00123272,0.00123272,0.00123272
15,29.2633,1.05344,3.09022,1.83216,0.63213,0.8964,0.66333,0.22271,1.81428,3.16701,3.38643,0.00128658,0.00128658,0.00128658
16,31.0318,0.60447,2.40802,1.18447,0.63213,0.8964,0.66333,0.22271,1.81428,3.16701,3.38643,0.0013357,0.0013357,0.0013357
17,32.7019,1.08798,3.80568,1.98973,0.63213,0.8964,0.66333,0.22271,1.81428,3.16701,3.38643,0.0013664,0.0013664,0.0013664
18,34.4205,0.75033,2.4367,1.4264,0.63213,0.8964,0.66333,0.22271,1.81428,3.16701,3.38643,0.0013268,0.0013268,0.0013268
19,36.2544,0.92722,3.10663,1.66189,0.6392,1,0.82833,0.19786,1.81724,3.47136,3.20068,0.0012872,0.0012872,0.0012872
20,37.9329,1.13636,4.01669,1.93505,0.6392,1,0.82833,0.19786,1.81724,3.47136,3.20068,0.0012476,0.0012476,0.0012476
21,39.6038,0.7004,2.62187,1.27257,0.6392,1,0.82833,0.19786,1.81724,3.47136,3.20068,0.001208,0.001208,0.001208
22,41.2692,1.22747,4.81,1.89857,0.6392,1,0.82833,0.19786,1.81724,3.47136,3.20068,0.0011684,0.0011684,0.0011684
23,42.9694,0.66566,2.85615,1.27506,0.6392,1,0.82833,0.19786,1.81724,3.47136,3.20068,0.0011288,0.0011288,0.0011288
24,44.6571,0.75989,2.88259,1.44735,0.98751,1,0.995,0.24963,2.26867,2.86125,3.68894,0.0010892,0.0010892,0.0010892
25,46.3402,0.81188,2.9094,1.42778,0.98751,1,0.995,0.24963,2.26867,2.86125,3.68894,0.0010496,0.0010496,0.0010496
26,48.0238,0.95205,3.17705,1.49752,0.98751,1,0.995,0.24963,2.26867,2.86125,3.68894,0.00101,0.00101,0.00101
27,49.7002,0.94687,3.51506,1.63809,0.98751,1,0.995,0.24963,2.26867,2.86125,3.68894,0.0009704,0.0009704,0.0009704
28,51.4331,0.77431,3.07753,1.34697,0.98751,1,0.995,0.24963,2.26867,2.86125,3.68894,0.0009308,0.0009308,0.0009308
29,53.121,1.11475,3.51758,1.66586,0.98751,1,0.995,0.24963,2.26867,2.86125,3.68894,0.0008912,0.0008912,0.0008912
30,54.821,0.92128,3.01848,1.76312,0.79308,0.5,0.745,0.45946,1.22831,2.74545,2.12049,0.0008516,0.0008516,0.0008516
31,56.511,0.77072,2.73938,1.49728,0.79308,0.5,0.745,0.45946,1.22831,2.74545,2.12049,0.000812,0.000812,0.000812
32,58.2117,0.66333,2.77944,1.298,0.79308,0.5,0.745,0.45946,1.22831,2.74545,2.12049,0.0007724,0.0007724,0.0007724
33,59.912,1.00179,5.2502,1.7603,0.79308,0.5,0.745,0.45946,1.22831,2.74545,2.12049,0.0007328,0.0007328,0.0007328
34,61.6461,0.64553,2.63339,1.27961,0.79308,0.5,0.745,0.45946,1.22831,2.74545,2.12049,0.0006932,0.0006932,0.0006932
35,63.3966,0.64588,2.3024,1.27659,0.65093,1,0.82833,0.51383,1.17161,2.62106,1.95618,0.0006536,0.0006536,0.0006536
36,65.1289,0.6466,2.46406,1.35862,0.65093,1,0.82833,0.51383,1.17161,2.62106,1.95618,0.000614,0.000614,0.000614
37,66.8957,0.5271,2.50031,1.25258,0.65093,1,0.82833,0.51383,1.17161,2.62106,1.95618,0.0005744,0.0005744,0.0005744
38,68.6627,0.70514,2.612,1.48453,0.65093,1,0.82833,0.51383,1.17161,2.62106,1.95618,0.0005348,0.0005348,0.0005348
39,70.3543,0.71667,2.68711,1.47432,0.65093,1,0.82833,0.51383,1.17161,2.62106,1.95618,0.0004952,0.0004952,0.0004952
40,72.1303,0.60403,2.98787,1.30601,0.6567,1,0.82833,0.42448,0.90082,3.20034,1.71269,0.0004556,0.0004556,0.0004556
41,74.3704,0.6684,4.20134,1.21909,0.6567,1,0.82833,0.42448,0.90082,3.20034,1.71269,0.000416,0.000416,0.000416
42,76.1794,0.5687,4.01015,1.17081,0.6567,1,0.82833,0.42448,0.90082,3.20034,1.71269,0.0003764,0.0003764,0.0003764
